OCPM #,Make/Miss,SR Create TS,SR Close TS,Cust Contact TS,Close and Create Diff
409RW9W,Make,2020-01-02 13:34:00,2020-01-06 12:14:00,2020-01-02 16:15:00,3 days 22:40:00.000000000
409S4L8,Make,2020-01-03 14:21:00,2020-01-06 14:37:00,2020-01-03 15:31:00,3 days 00:16:00.000000000
409RWV4,Make,2020-01-02 19:23:00,2020-01-04 13:23:00,2020-01-04 12:44:00,1 days 18:00:00.000000000
409S2SF,Make,2020-01-03 11:28:00,2020-01-03 13:42:00,2020-01-03 13:08:00,0 days 02:14:00.000000000
409RTPF,Make,2020-01-02 09:23:00,2020-01-03 14:49:00,2020-01-02 09:41:00,1 days 05:26:00.000000000
409RTB6,Make,2020-01-02 11:36:00,2020-01-03 15:38:00,2020-01-03 11:59:00,1 days 04:02:00.000000000
409RS8J,Make,2020-01-02 09:33:00,2020-01-03 20:11:00,2020-01-02 09:49:00,1 days 10:38:00.000000000
409RTZ2,Make,2020-01-02 12:09:00,2020-01-03 17:32:00,2020-01-02 12:09:00,1 days 05:23:00.000000000
409RVHD,Make,2020-01-02 11:23:00,2020-01-03 23:01:00,2020-01-02 11:33:00,1 days 11:38:00.000000000
409RV26,Make,2020-01-02 13:16:00,2020-01-03 13:54:00,2020-01-02 13:19:00,1 days 00:38:00.000000000
409RW6D,Make,2020-01-02 15:11:00,2020-01-03 14:40:00,2020-01-02 15:12:00,0 days 23:29:00.000000000
409RTG4,Make,2020-01-02 10:52:00,2020-01-03 14:19:00,2020-01-02 10:52:00,1 days 03:27:00.000000000
409RSJ3,Make,2020-01-02 09:07:00,2020-01-03 09:53:00,2020-01-02 09:08:00,1 days 00:46:00.000000000
409RS75,Make,2020-01-02 09:27:00,2020-01-03 11:28:00,2020-01-02 09:27:00,1 days 02:01:00.000000000
409RVY6,Make,2020-01-02 15:32:00,2020-01-03 12:30:00,2020-01-02 15:33:00,0 days 20:58:00.000000000
409RVZ6,Make,2020-01-02 15:39:00,2020-01-02 16:03:00,2020-01-02 15:40:00,0 days 00:24:00.000000000
409RTS6,Make,2020-01-02 11:41:00,2020-01-02 11:48:00,2020-01-02 11:42:00,0 days 00:07:00.000000000
409RSSK,Make,2020-01-02 10:39:00,2020-01-02 10:48:00,2020-01-02 10:43:00,0 days 00:09:00.000000000
409RTP5,Make,2020-01-02 09:25:00,2020-01-02 09:31:00,2020-01-02 09:27:00,0 days 00:06:00.000000000
409RVJK,Make,2020-01-02 11:35:00,2020-01-03 12:36:00,2020-01-02 12:04:00,1 days 01:01:00.000000000
409RTCK,Make,2020-01-02 11:41:00,2020-01-03 12:13:00,2020-01-02 12:56:00,1 days 00:32:00.000000000
409RT4R,Make,2020-01-02 10:11:00,2020-01-03 15:30:00,2020-01-02 10:11:00,1 days 05:19:00.000000000
409S28S,Make,2020-01-03 10:22:00,2020-01-06 11:59:00,2020-01-03 12:50:00,3 days 01:37:00.000000000
409S2JG,Make,2020-01-03 09:47:00,2020-01-06 14:37:00,2020-01-03 12:25:00,3 days 04:50:00.000000000
409S32Z,Make,2020-01-03 12:01:00,2020-01-06 12:49:00,,3 days 00:48:00.000000000
409RRLZ,Make,2020-01-02 08:01:00,2020-01-06 13:10:00,2020-01-02 09:41:00,4 days 05:09:00.000000000
409RRRF,Make,2020-01-02 08:26:00,2020-01-06 11:58:00,2020-01-03 10:50:00,4 days 03:32:00.000000000
409S3WT,Make,2020-01-03 13:27:00,2020-01-06 16:36:00,2020-01-06 12:22:00,3 days 03:09:00.000000000
409RVJC,Make,2020-01-02 12:31:00,2020-01-07 10:36:00,2020-01-02 12:32:00,4 days 22:05:00.000000000
409S8Z4,Make,2020-01-06 09:40:00,2020-01-07 12:40:00,2020-01-06 09:41:00,1 days 03:00:00.000000000
409S3FS,Make,2020-01-03 12:13:00,2020-01-07 12:23:00,2020-01-03 12:14:00,4 days 00:10:00.000000000
